Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
HIG^G,"Hartford Financial Services Group, Inc. (The)",28.445,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hig^g
HVT,"Haverty Furniture Companies, Inc.",22.21,$417.96M,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/hvt
HVT.A,"Haverty Furniture Companies, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hvt.a
HE,"Hawaiian Electric Industries, Inc.",34.58,$3.78B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/he
HCHC,"HC2 Holdings, Inc.",2.82,$131.98M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/hchc
HCA,"HCA Healthcare, Inc.",131.15,$44.33B,2011,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/hca
HCI,"HCI Group, Inc.",55.16,$440.43M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hci
HDB,HDFC Bank Limited,47.72,$87.33B,2001,Finance,Commercial Banks,https://old.nasdaq.com/symbol/hdb
HR,Healthcare Realty Trust Incorporated,27.74,$3.77B,1993,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hr
HTA,"Healthcare Trust of America, Inc.",25.34,$5.54B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hta
PEAK,"Healthpeak Properties, Inc.",27.41,$14.76B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/peak
HL,Hecla Mining Company,6.02,$3.18B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/hl
HL^B,Hecla Mining Company,58.05,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/hl^b
HEI,Heico Corporation,106.02,$14.29B,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/hei
HEI.A,Heico Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hei.a
HLX,"Helix Energy Solutions Group, Inc.",3.93,$589.73M,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/hlx
HP,"Helmerich & Payne, Inc.",17.38,$1.87B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hp
HLF,Herbalife Nutrition Ltd.,48.13,$6.38B,2004,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/hlf
HRI,Herc Holdings Inc.,40.78,$1.19B,2016,n/a,n/a,https://old.nasdaq.com/symbol/hri
HCXY,"Hercules Capital, Inc.",26.2,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/hcxy
HCXZ,"Hercules Capital, Inc.",25.64,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/hcxz
HTGC,"Hercules Capital, Inc.",11.01,$1.26B,2012,n/a,n/a,https://old.nasdaq.com/symbol/htgc
HRTG,"Heritage Insurance Holdings, Inc.",12.88,$361.39M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hrtg
PSV,Hermitage Offshore Services Ltd.,0.433,$13.57M,2014,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/psv
HT,Hersha Hospitality Trust,6.44,$249.8M,1999,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ht
HT^C,Hersha Hospitality Trust,15.31,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ht^c
HT^D,Hersha Hospitality Trust,14.45,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ht^d
HT^E,Hersha Hospitality Trust,14.4,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ht^e
HSY,Hershey Company (The),147.74,$30.73B,n/a,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/hsy
HTZ,"Hertz Global Holdings, Inc",1.47,$229.62M,2016,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/htz
HES,Hess Corporation,48.14,$14.79B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/hes
HESM,Hess Midstream LP,18.08,$325.95M,2017,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hesm
HPE,Hewlett Packard Enterprise Company,9.26,$11.9B,2015,Technology,Retail: Computer Software & Peripheral Equipment,https://old.nasdaq.com/symbol/hpe
HXL,Hexcel Corporation,39.47,$3.3B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/hxl
HEXO,HEXO Corp.,0.7084,$340.54M,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/hexo
PCF,High Income Securities Fund,8.13,$45.24M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcf
HGLB,Highland Global Allocation Fund,6.57,$147.84M,2019,n/a,n/a,https://old.nasdaq.com/symbol/hglb
HFRO,Highland Income Fund,9.05,$649.57M,2017,n/a,n/a,https://old.nasdaq.com/symbol/hfro
HFRO^A,Highland Income Fund,25.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hfro^a
HPR,HighPoint Resources Corporation,0.3582,$77.11M,2018,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hpr
HIW,"Highwoods Properties, Inc.",37.33,$3.88B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hiw
HIL,"Hill International, Inc.",1.4701,$82.42M,2018,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/hil
HI,Hillenbrand Inc,32.36,$2.42B,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/hi
HRC,Hill-Rom Holdings Inc,94.65,$6.3B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/hrc
HTH,Hilltop Holdings Inc.,19.77,$1.78B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/hth
HGV,Hilton Grand Vacations Inc.,20.42,$1.74B,2016,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/hgv
HLT,Hilton Worldwide Holdings Inc.,85.1,$23.6B,2016,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/hlt
